"All Items","Todos los productos",""
"All Brands","Todas las marcas",""
"Search by item code, name, item group or scan barcode","Buscar por código, nombre, grupo o escanear código de barras",""
"Your cart is empty","El carrito está vacío",""
"Select items to start or choose a quick action","Seleccione productos para iniciar o elija una acción rápida",""
"View Shift","Ver turno",""
"Draft Invoices","Facturas borrador",""
"Invoice History","Historial de facturas",""
"Return Invoice","Devolver factura",""
"Close Shift","Cerrar turno",""
"Create Customer","Crear cliente",""
"Total","Total",""
"Payment","Pago",""
"Name","Nombre",""
"Rate","Precio",""
"Qty","Cant.",""
"UOM","Unidad",""
"Image","Imagen",""
"Item Code","Código de producto",""
"Quantity","Cantidad",""
"Price","Precio",""
"Brand","Marca",""
"Item Group","Grupo de productos",""
"Loading items...","Cargando productos...",""
"No items available","No hay productos disponibles",""
"All items loaded","Todos los productos cargados",""
`
